song,mean_emotional,sd_emotional,mean_familiarity,sd_familiarity,mean_valence,sd_valence,mean_comprehension,sd_comprehension,n
Solo - Clean Bandit (Original),4.243243243243243,1.847000652791279,4.864864864864865,2.200532286139502,4.783783783783784,1.272249432547965,3.918918918918919,1.4410331628996529,39
Solo (Spanish Cover),3.972972972972973,1.4811123163668898,4.8108108108108105,1.792543782788363,4.837837837837838,1.236336737514715,1.6486486486486485,0.9779859183323942,39
Lost on You - LP (Original),4.648648648648648,1.619605854250695,4.405405405405405,2.2786382319693033,4.351351351351352,1.398733876209644,3.9729729729729732,1.2580073857424614,39
Lost on You (Spanish Cover),4.216216216216216,1.3361456826578773,3.5675675675675675,1.95136050175456,3.7837837837837838,0.9169737405405021,1.5945945945945945,1.1170262968022495,39
Issues - Julia Michaels (Original),4.405405405405405,1.6743068127745593,3.621621621621622,1.8907868930884502,4.351351351351352,1.110960950814309,3.9729729729729732,1.4040909769211793,39
Issues (French Cover),3.972972972972973,1.624234631492057,3.135135135135135,1.8583469679942581,4.324324324324325,1.0015003759375245,1.837837837837838,1.2804841426740274,39
